palavra,quantidade
Brasil,23
bilhões,18
senhor,17
fazer,16
milhões,15
hoje,14
povo,13
todos,12
nacional,12
governo,11
Bolsonaro,10
pode,10
quero,10
brasileiro,10
presidente,9
anos,9
grande,9
aqui,9
tempo,8
nada,8
projeto,8
desenvolvimento,8
Lula,7
história,7
corrupção,7
todas,7
cultura,7
gente,6
brasileira,6
brasileiros,6
famílias,6
grave,6
tragédia,6
coisa,6
econômica,6
vagas,6
ensino,6
exemplo,6
política,6
modelo,6
banco,6
crise,5
pobres,5
números,5
sabe,5
empresas,5
verdade,5
aconteceu,5
ninguém,5
proposta,5
tipo,5
país,5
cada,5
reais,5
seis,5
senadora,5
deixa,5
econômico,5
ideia,5
fomento,5
papel,5
grandes,5
ainda,4
desemprego,4
enfim,4
disso,4
maior,4
serasa,4
questão,4
assim,4
paulo,4
nenhuma,4
pagar,4
nunca,4
tudo,4
mundo,4
classe,4
média,4
pública,4
apenas,4
integral,4
oportunidade,4
completamente,4
agora,4
central,4
fies,4
toda,4
amazônia,4
oficiais,3
conta,3
economia,3
terra,3
período,3
ficar,3
professor,3
então,3
estrangeiro,3
jeito,3
onde,3
muitos,3
dizer,3
melhor,3
absolutamente,3
irmão,3
respeito,3
pensar,3
filho,3
pobre,3
portanto,3
educação,3
ceará,3
dispensa,3
impostos,3
produtos,3
básica,3
emprego,3
deve,3
renegociar,3
recursos,3
sempre,3
estímulo,3
expressões,3
problemas,3
poderosos,3
razão,3
privatização,3
estatal,3
sistema,3
pergunta,3
dependente,3
achar,2
dessa,2
explica,2
perto,2
desses,2
contradições,2
bastante,2
pega,2
pedacinho,2
concentrou,2
bancos,2
popular,2
crédito,2
acabou,2
montanha,2
coisas,2
direito,2
certamente,2
tirar,2
valor,2
produz,2
opinião,2
julgue,2
votos,2
centros,2
vida,2
obra,2
generalizada,2
encontro,2
fato,2
tesouro,2
dinheiro,2
conhecimento,2
nenhum,2
parece,2
quis,2
deixei,2
vamos,2
possível,2
moral,2
passado,2
peço,2
daqui,2
domingo,2
pouco,2
ensine,2
nação,2
todo,2
pano,2
quer,2
grupo,2
garotos,2
retorno,2
estado,2
consertar,2
melhores,2
sonhar,2
acontecendo,2
escolas,2
padrão,2
única,2
digo,2
luxo,2
cesta,2
outros,2
governos,2
imposto,2
salmão,2
profissionalizante,2
médio,2
resolve,2
contradição,2
garotada,2
jovens,2
meses,2
ensinar,2
formar,2
qualquer,2
poder,2
advogo,2
pessoas,2
programa,2
renda,2
porém,2
dois,2
Soraya,2
propõe,2
especialmente,2
sobre,2
dívida,2
antessala,2
quebrar,2
obras,2
paradas,2
ouro,2
errado,2
rigorosamente,2
pedindo,2
vendeu,2
valia,2
elemento,2
orçamento,2
permite,2
artísticas,2
identidade,2
leis,2
desde,2
defeitos,2
quase,2
estética,2
comercial,2
periferia,2
mídia,2
enfrentar,2
conglomerados,2
local,2
meia,2
dúzia,2
dessas,2
entregues,2
controle,2
privatizar,2
internacional,2
capital,2
cuja,2
contabilidade,2
aeroportos,2
entregue,2
fazendo,2
diga,2
zoneamento,2
ecológico,2
atraídos,2
redor,2
atrás,2
floresta,2
oferecer,2
futuro,2
pedir,2
situação,2
pará,2
solo,2
degradado,2
alternativas,2
econômicas,2
pessoal,2
universidades,2
instituto,2
acesso,2
mercado,2
radicais,2
endividadas,2
imagina,2
puxado,2
desejo,1
perguntar,1
intenção,1
raízes,1
tremenda,1
ricos,1
acumulassem,1
acumulam,1
possuem,1
chegou,1
explodiu,1
endividamento,1
deseja,1
repetir,1
ventura,1
presidir,1
novamente,1
participei,1
afastei,1
justamente,1
graves,1
morais,1
novo,1
separa,1
esquece,1
resultado,1
final,1
transações,1
financeiras,1
impôs,1
taxa,1
juros,1
planeta,1
destruiu,1
arrebentou,1
humilhadas,1
falseando,1
prestar,1
contas,1
gerou,1
boas,1
eleito,1
botou,1
esperar,1
resposta,1
favor,1
aproveito,1
reclama,1
mentiras,1
hábil,1
nisso,1
campeão,1
pedaço,1
onda,1
bonança,1
trouxe,1
desastre,1
complet,1
dinâmicos,1
minas,1
evidentemente,1
promessa,1
consequência,1
doída,1
mágoa,1
experimentou,1
terrível,1
pior,1
brincadeira,1
saíram,1
crediário,1
viajar,1
passagem,1
aérea,1
bateu,1
transferiram,1
trilhões,1
dados,1
além,1
generalizou,1
esconder,1
devolvidos,1
devolviam,1
diziam,1
roubei,1
depoimentos,1
disseram,1
prazer,1
aprender,1
amargas,1
lições,1
tomou,1
denunciar,1
erradas,1
perseguição,1
processual,1
sofreu,1
negar,1
realmente,1
aceitar,1
nonsense,1
veja,1
devolveram,1
físico,1
percebe,1
disparado,1
escândalo,1
desvendado,1
naturalmente,1
senão,1
explicação,1
marciana,1
paraíso,1
descreve,1
resultou,1
profundo,1
carinho,1
amor,1
pátria,1
solução,1
social,1
vivendo,1
voltar,1
causa,1
pare,1
prêmio,1
impunidade,1
roubar,1
feita,1
premiada,1
conduta,1
suicida,1
pegarmos,1
artistas,1
cientistas,1
passando,1
juntando,1
caetano,1
geddel,1
baianos,1
mergulhado,1
conchavo,1
mortal,1
colômbia,1
garante,1
corrigindo,1
último,1
lugar,1
obrigada,1
dobrado,1
viver,1
algum,1
oneroso,1
corrupto,1
universidade,1
expandir,1
comprometendo,1
defendo,1
transformar,1
níveis,1
cansado,1
enganado,1
preciso,1
estados,1
públicas,1
gratuitas,1
perseguem,1
forma,1
pequena,1
mudar,1
sonho,1
prover,1
conseguimos,1
exibir,1
mostrar,1
começa,1
creche,1
oito,1
coloco,1
milhão,1
crianças,1
cofins,1
mantém,1
pegar,1
meteram,1
queijo,1
suíço,1
filé,1
mignon,1
deixam,1
prático,1
daquilo,1
avançado,1
nível,1
consegue,1
desempregados,1
chamando,1
cinicamente,1
estudam,1
trabalhar,1
resolvendo,1
aluno,1
escola,1
estágio,1
remunerado,1
primeiros,1
sido,1
aproveitamento,1
retenção,1
estudantes,1
privadas,1
decoreba,1
antiga,1
leva,1
frente,1
emancipador,1
capacidade,1
profissional,1
digital,1
bane,1
preocupação,1
estudante,1
olhar,1
mesma,1
ângulos,1
diferentes,1
própria,1
alegar,1
manipulação,1
lenda,1
questões,1
apresentando,1
seio,1
família,1
dívidas,1
refinanciando,1
desconto,1
estabelecer,1
mínima,1
cidadania,1
domicílio,1
mapeados,1
cinco,1
empregos,1
concordo,1
profunda,1
reforma,1
fiscal,1
líquido,1
abater,1
retomar,1
conseguirmos,1
imediatamente,1
consumo,1
motor,1
atividade,1
massivo,1
retomando,1
recurso,1
previsto,1
corte,1
renúncias,1
fiscais,1
indevidos,1
cortar,1
retomo,1
empregando,1
dificuldade,1
qualificação,1
convido,1
partir,1
recebeu,1
juízo,1
deveu,1
caiu,1
prometeu,1
moralizar,1
moralizou,1
acusações,1
pesadas,1
familiares,1
iguais,1
antecessores,1
falei,1
costumo,1
servir,1
hora,1
alguém,1
prove,1
dizendo,1
responder,1
manteve,1
mesmas,1
práticas,1
corruptas,1
gosto,1
landulfo,1
alves,1
bilhão,1
gasoduto,1
vendido,1
paga,1
empresa,1
compradora,1
aluguel,1
carteira,1
alguns,1
casos,1
institucionalização,1
humanidade,1
secreto,1
disse,1
parlamento,1
determine,1
ministros,1
empenhem,1
faria,1
acaba,1
roubalheira,1
crime,1
responsabilidade,1
aparte,1
considero,1
importância,1
mero,1
mecenato,1
afirma,1
precisamos,1
recuperar,1
dinâmica,1
recriar,1
ministério,1
reestabilizar,1
instituições,1
funarte,1
outras,1
rever,1
rouanet,1
cumpre,1
