palavra,quantidade
Brasil,34
precisamos,21
fazer,18
saúde,15
orçamento,14
importante,13
novo,12
público,12
governo,12
coisa,11
vamos,11
vida,10
hoje,10
estado,9
gasto,9
corrupção,9
brasileiro,9
avançar,9
pública,8
principalmente,8
poder,8
precisa,8
cidadão,8
dinheiro,8
desse,7
país,7
pessoas,7
hospitais,7
problema,7
bilhões,7
questão,7
reforma,7
senadora,7
fundamental,6
sempre,6
partido,6
limpa,6
vote,6
Simone,6
mundo,6
quer,6
política,6
serviço,6
infelizmente,6
economia,6
mercado,5
então,5
tirar,5
gostaria,5
congresso,5
olha,5
estados,5
coisas,5
assim,5
justamente,5
acho,5
presidente,5
milhões,5
Bolsonaro,5
gente,5
nação,5
prefeito,5
habitação,5
Ciro,4
estatais,4
Lula,4
maior,4
verdade,4
pessoa,4
dizer,4
melhor,4
ficha,4
nacional,4
peço,4
colocar,4
pouco,4
anos,4
nesse,4
municípios,4
digitalização,4
qualidade,4
investimento,4
agora,4
educação,4
afetou,4
senhor,4
povo,4
governar,4
petrobras,4
brasileira,4
bolso,4
voltar,4
trabalhista,4
regularização,4
fundiária,4
fgts,4
acredito,3
acredita,3
sabemos,3
escândalo,3
pergunta,3
capacidade,3
nessa,3
candidatos,3
contra,3
alguém,3
deixar,3
cofres,3
públicos,3
discutir,3
meio,3
liderança,3
todo,3
gestão,3
prontuário,3
primária,3
melhorar,3
trazer,3
privados,3
aqui,3
causa,3
disso,3
resolve,3
pedir,3
secreto,3
base,3
exemplo,3
único,3
reformas,3
sabe,3
acaba,3
aumentar,3
onde,3
chega,3
esquerda,3
nenhum,3
internacional,3
gerar,3
pauta,3
volta,3
Tebet,3
senhora,3
crédito,3
hospital,3
fazendo,3
Padre,3
Kelmon,3
joinville,3
outro,3
trabalhador,3
resolver,3
divergimos,2
algumas,2
questões,2
intervenção,2
fiscal,2
teto,2
privatizações,2
história,2
mensalão,2
compra,2
voto,2
parlamento,2
buraco,2
malandragem,2
todos,2
econômica,2
mensaleiros,2
site,2
oportunidade,2
bate,2
boca,2
lugar,2
tempo,2
duas,2
importantes,2
