palavra,quantidade
senhora,24
pessoas,22
aqui,21
Padre,17
senhor,16
vida,15
sabe,15
Brasil,14
esquerda,14
país,13
todos,13
fazer,11
precisa,11
dinheiro,11
gente,10
povo,10
verdade,10
vote,10
sacerdote,9
então,8
outro,8
cultura,8
presidente,7
padres,7
nesse,7
humano,7
todo,6
sabemos,6
igreja,6
estado,6
educação,6
cristãos,6
universidades,6
irmãos,6
jesus,6
paulo,6
casa,5
política,5
querem,5
olha,5
tanto,5
covid,5
fale,5
investir,5
desse,5
olhar,5
crianças,5
josé,5
auxílio,4
agora,4
quer,4
alguns,4
mentindo,4
outros,4
imposto,4
falácias,4
mundo,4
inferno,4
evangelho,4
cristianismo,4
dizendo,4
base,4
grande,4
cristo,4
saber,4
precisamos,4
preciso,4
vamos,4
sofrendo,4
ajudar,4
cristão,4
valor,4
católicos,4
precisam,4
falta,4
ainda,4
corpo,4
governo,4
naquele,4
habitação,4
partido,4
brasileiros,3
podemos,3
enganar,3
tempo,3
américa,3
cada,3
homens,3
Kelmon,3
coisa,3
candidatos,3
dizer,3
melhorar,3
onde,3
tamanho,3
tipo,3
Lula,3
sabem,3
viver,3
respeitar,3
significa,3
dessa,3
cobrar,3
impostos,3
solução,3
diga,3
hoje,3
fato,3
contra,3
tantas,3
guevara,3
sacerdotes,3
nazaré,3
enxergar,3
pele,3
ouvir,3
maior,3
falou,3
queria,3
conhecer,3
brasileiro,3
população,3
chefe,3
corrupção,3
mente,3
cidade,3
rouanet,3
público,3
valorizado,3
ruas,3
ódio,3
milhões,2
mandato,2
mentem,2
latina,2
calar,2
agenda,2
consciência,2
apenas,2
eleitor,2
único,2
reduzir,2
inchado,2
emprego,2
ficar,2
proposta,2
problema,2
façam,2
desculpe,2
morre,2
soubesse,2
respeita,2
deveria,2
forma,2
cidadão,2
sendo,2
cabides,2
fizeram,2
políticos,2
candidata,2
destruir,2
gomes,2
públicas,2
pobre,2
militante,2
serviço,2
passa,2
assim,2
chega,2
universidade,2
ideologias,2
valores,2
lugar,2
jovens,2
preto,2
branco,2
índio,2
comum,2
aceitar,2
pode,2
raça,2
existe,2
irmão,2
igual,2
exemplo,2
sociedade,2
venezuela,2
governar,2
jornal,2
disse,2
cuido,2
ninguém,2
respeito,2
brasileira,2
homem,2
desconhece,2
zelo,2
aonde,2
valorizar,2
realmente,2
esquema,2
história,2
próprio,2
atos,2
descondenado,2
precisaria,2
respeite,2
falar,2
amiguinho,2
ortega,2
foro,2
aprende,2
escola,2
construir,2
conheço,2
nação,2
cristã,2
romanos,2
evangélicos,2
catequese,2
acusando,2
pessoa,2
anchieta,2
construíram,2
primeiras,2
conhecimento,2
amor,2
vivendo,2
governos,2
usar,2
deus,2
respeitado,2
pedro,2
melhor,2
eleito,2
reconhecido,2
ajuda,2
programa,2
seres,2
humanos,2
parte,2
observem,2
deputado,2
Bolsonaro,1
enfrentou,1
pandemia,1
doses,1
vacina,1
emergencial,1
fique,1
economia,1
permanente,1
pretende,1
manter,1
governou,1
anos,1
enganam,1
televisão,1
encher,1
elogios,1
contaminou,1
toda,1
plano,1
segue,1
denigre,1
procurando,1
colocar,1
informação,1
nessa,1
eleição,1
escolher,1
direita,1
arrepender,1
alguma,1
tentar,1
acabou,1
criar,1
quanto,1
cobra,1
vira,1
tragédia,1
diminuir,1
cheio,1
cabide,1
sobre,1
atento,1
falaciosos,1
tentando,1
reduza,1
deixe,1
pequeno,1
sobrar,1
volte,1
saúde,1
criem,1
achando,1
podem,1
resolver,1
verbo,1
minta,1
muita,1
cabo,1
eleitoral,1
certo,1
falam,1
medo,1
dias,1
morro,1
pouquinho,1
desrespeitando,1
mandando,1
sacerdócio,1
dirigia,1
desrespeitado,1
mandado,1
mulher,1
servir,1
caminho,1
aguenta,1
cobrado,1
novamente,1
repete,1
tirar,1
muitos,1
apadrinhados,1
verdadeira,1
mesma,1
mandou,1
Ciro,1
filhos,1
ricos,1
estudam,1
graça,1
enquanto,1
filho,1
acaba,1
tendo,1
pagar,1
particulares,1
viraram,1
fábricas,1
espera,1
acabar,1
investida,1
acreditamos,1
nisso,1
qualidade,1
criança,1
adolescente,1
adulta,1
chegar,1
virar,1
virou,1
ninho,1
militam,1
formar,1
soldadinhos,1
defender,1
matando,1
utilizando,1
camisetas,1
pergunto,1
universitário,1
assassino,1
lenda,1
amarelo,1
marrom,1
moradores,1
cria,1
divisão,1
entender,1
mulato,1
pardo,1
