palavra,quantidade
vamos,36
Brasil,34
governo,28
dinheiro,19
fazer,18
candidato,16
hoje,16
presidente,11
meio,11
anos,10
ambiente,10
aqui,9
saúde,9
casas,9
amazônia,9
então,9
senhor,8
república,8
pessoas,8
vida,8
cuidar,8
pergunta,7
Lula,7
resolver,7
precisa,7
estado,7
ensino,7
história,6
falar,6
educação,6
pública,6
agronegócio,6
corrupção,6
Bolsonaro,5
agora,5
debate,5
problemas,5
comida,5
colocar,5
emprego,5
milhões,5
hospitais,5
população,5
menos,5
pobres,5
públicos,5
maior,5
mundo,5
quer,5
brasileiro,5
sabe,5
estatais,5
qualidade,5
importante,4
falta,4
tratar,4
fome,4
grande,4
deixar,4
conta,4
lamentavelmente,4
filhos,4
falando,4
único,4
federal,4
todos,4
brasileira,4
nesse,4
mesa,4
eleita,4
atual,4
iniciativa,4
privada,4
construir,4
público,4
populares,4
privatizar,4
manter,4
assim,4
médio,4
jovem,4
vice,3
questão,3
neste,3
momento,3
coragem,3
segundo,3
reais,3
problema,3
realidade,3
crianças,3
dias,3
centro,3
levar,3
governar,3
disso,3
partido,3
talvez,3
exames,3
cirurgias,3
consultas,3
ficar,3
vacina,3
exemplo,3
área,3
prematuramente,3
brasileiros,3
equipar,3
preciso,3
quero,3
apenas,3
florestas,3
desmatamento,3
últimos,3
públicas,3
barata,3
mato,3
grosso,3
gente,3
mudanças,3
climáticas,3
prejuízo,3
bilhões,3
comprar,3
servir,3
renda,3
garantir,3
inclusive,3
povo,3
deficitárias,3
dando,3
certo,3
razão,3
petrobras,3
poder,3
candidata,3
peço,3
jovens,3
metade,3
voto,3
atrás,3
sossegar,3
enquanto,3
lamento,2
acho,2
perguntar,2
insensível,2
conhece,2
andar,2
grandes,2
centros,2
pedindo,2
amor,2
eleição,2
propostas,2
eleitor,2
cidadão,2
gerar,2
responsabilidade,2
outubro,2
ódio,2
contra,2
polarização,2
terminar,2
eleito,2
outro,2
voltar,2
crime,2
próximos,2
pandemia,2
atrasou,2
matando,2
covid,2
filas,2
incompetência,2
aliás,2
lamentável,2
real,2
obrigada,2
avila,2
hora,2
fila,2
zerar,2
especialmente,2
idosos,2
Felipe,2
realmente,2
pessoa,2
sensível,2
telemedicina,2
prontuário,2
câncer,2
morrem,2
falecer,2
primeiro,2
financiamento,2
repito,2
regionais,2
aparelhos,2
olhar,2
santas,2
aproveitar,2
infantil,2
volte,2
biomas,2
pantanal,2
proteger,2
pior,2
diferente,2
retrocessos,2
implantar,2
ilegal,2
zero,2
decretos,2
órgãos,2
fiscalização,2
portanto,2
nada,2
falamos,2
fala,2
importa,2
protejam,2
desenvolvimento,2
agro,2
toda,2
gasta,2
pagar,2
faça,2
crescer,2
três,2
agricultura,2
familiar,2
norte,2
sustento,2
homens,2
todas,2
todo,2
divergimos,2
alguns,2
visão,2
parceiros,2
mínimo,2
segurança,2
recursos,2
construção,2
ponto,2
quase,2
congresso,2
nacional,2
conivência,2
cofres,2
parceria,2
Soraya,2
desculpas,2
professora,2
mesma,2
escolas,2
cinco,2
futuro,2
gasto,2
desvio,2
privatizações,2
trem,2
bala,2
aconteceu,2
privatização,2
celulose,2
duas,2
cada,2
queremos,2
simples,2
prazer,2
podemos,2
mulher,2
vezes,2
quilômetros,2
tabela,2
ninguém,2
inclusão,2
escolha,2
coração,2
confio,1
integralmente,1
santo,1
andré,1
falecido,1
vítima,1
extorsão,1
máfia,1
transportes,1
época,1
trazida,1
dirigida,1
envolvido,1
sobre,1
assunto,1
vossa,1
excelência,1
deve,1
semáforos,1
dormindo,1
deus,1
prato,1
novamente,1
eleições,1
difíceis,1
vemos,1
apresentação,1
ataques,1
mútuos,1
roubou,1
incompetente,1
erradicar,1
miséria,1
trazer,1
formalidade,1
trabalhadores,1
informalidade,1
decisão,1
estender,1
turno,1
dezembro,1
acontecer,1
discurso,1
deixaremos,1
sérios,1
causa,1
afinal,1
acusando,1
covardia,1
exatamente,1
queira,1
quais,1
graves,1
geriu,1
compra,1
vacinas,1
represado,1
tempo,1
fechados,1
insensibilidade,1
sequer,1
tomou,1
passivo,1
geração,1
ainda,1
chora,1
morte,1
morreram,1
colocou,1
certa,1
braço,1
morrendo,1
interminável,1
atrasadas,1
fico,1
feliz,1
preocupação,1
doente,1
caminhar,1
especificamente,1
pensar,1
vaga,1
sistema,1
atendimento,1
tarde,1
tomar,1
medidas,1
imediatas,1
aumentar,1
necessários,1
possam,1
atender,1
atendem,1
praticamente,1
cidades,1
pedido,1
amanhã,1
termina,1
campanha,1
vacinação,1
poliomielite,1
vacinar,1
paralisia,1
deixou,1
queimarem,1
serem,1
devastadas,1
invés,1
cuidou,1
protegeu,1
mineradores,1
invasores,1
áreas,1
madeireiros,1
aspecto,1
faria,1
impressionante,1
mente,1
tanto,1
acredita,1
própria,1
mentira,1
virou,1
costas,1
apoia,1
projetos,1
verdadeiros,1
destruir,1
significa,1
chuva,1
fazendo,1
produza,1
chega,1
cara,1
revogaço,1
nesses,1
tiram,1
protegemos,1
descompensamos,1
clima,1
chuvas,1
excesso,1
comunidades,1
derrubam,1
matam,1
humildes,1
preservado,1
obrigação,1
acaso,1
nessa,1
acabei,1
inverdades,1
questões,1
simplesmente,1
vidas,1
devolver,1
controle,1
matas,1
rios,1
mostrar,1
natureza,1
cuidarmos,1
região,1
preço,1
alimentos,1
suba,1
supermercado,1
pobre,1
consegue,1
comer,1
come,1
arroz,1
feijão,1
cumprir,1
acordo,1
paris,1
paria,1
internacional,1
vergonha,1
preservar,1
gera,1
preservá,1
cobrar,1
dólar,1
