palavra,quantidade
senhor,38
candidato,18
governo,16
Brasil,15
senhora,15
corrupção,14
Padre,14
tudo,12
vamos,12
gente,12
quero,12
pessoas,11
quantas,11
aqui,10
imposto,9
cargos,9
vacina,9
escândalos,8
realmente,8
saber,8
Jair,8
Bolsonaro,8
fazer,8
então,8
país,8
dizer,7
grande,7
sobre,7
todas,7
hoje,7
cabo,7
eleitoral,7
nada,7
gostaria,6
casa,6
agora,6
crianças,6
iremos,6
ninguém,6
assim,6
pandemia,6
sabe,6
mato,6
grosso,6
todos,5
enquanto,5
candidatos,5
anos,5
proposta,5
cuidar,5
atual,5
povo,5
cargo,5
direita,5
dentro,5
desse,5
problema,5
educação,5
antes,5
abandonou,5
mercado,5
oportunidade,4
ainda,4
único,4
propostas,4
contas,4
bandeira,4
muitos,4
cada,4
emprego,4
falar,4
aproveitar,4
ajudar,4
verdade,4
poder,4
questão,4
forma,4
cinco,4
renda,4
pessoal,4
comprar,4
candidata,4
provado,4
quer,4
lucro,4
coragem,3
campanha,3
fila,3
momento,3
dois,3
campo,3
liberdade,3
consegui,3
acima,3
milhões,3
juntos,3
digo,3
federal,3
atenção,3
infelizmente,3
combate,3
extrema,3
unção,3
sabia,3
Lula,3
seguinte,3
ficar,3
medo,3
inferno,3
presidente,3
população,3
meio,3
disse,3
pergunta,3
respondeu,3
trabalha,3
trazer,3
tributária,3
dessa,3
empregador,3
reforma,3
projeto,3
apenas,3
quis,3
enfim,3
escola,3
vida,3
brasileiros,3
olha,3
vacinou,3
tirados,3
fala,3
liberal,3
partido,3
apoia,3
economia,3
bancos,3
família,3
união,3
foto,3
lugar,2
agradecer,2
brigam,2
passa,2
fome,2
fazem,2
indignada,2
existem,2
caneta,2
pedi,2
prefeitos,2
salvo,2
ruas,2
ação,2
popular,2
ministério,2
público,2
preço,2
consumo,2
movimentação,2
financeira,2
preste,2
tomar,2
graças,2
deus,2
vergonhosamente,2
levantamos,2
passamos,2
auxílio,2
emergencial,2
arrumou,2
favor,2
quase,2
covid,2
órfãos,2
vídeos,2
maior,2
acho,2
nenhuma,2
estudou,2
estuda,2
geração,2
mentira,2
tributos,2
cerca,2
disso,2
compensação,2
dívida,2
ativa,2
ações,2
trabalho,2
precisamos,2
nunca,2
ganha,2
salário,2
brasileiro,2
mudar,2
abraço,2
antônio,2
igreja,2
síria,2
ortodoxa,2
perdoo,2
professores,2
isentos,2
primeiro,2
escolas,2
déficit,2
fazendo,2
falamos,2
merenda,2
vezes,2
preso,2
dizem,2
respeitar,2
órgãos,2
competentes,2
aguardando,2
adianta,2
prestação,2
rede,2
ficou,2
triste,2
deixou,2
estado,2
comigo,2
exemplo,2
sudeco,2
ibama,2
gosta,2
virou,2
inimiga,2
vote,2
contato,2
nome,2
pedidos,2
tirar,2
petralhada,2
redes,2
sociais,2
doses,2
querem,2
mãos,2
polícia,2
república,2
respeito,2
alguns,2
vossa,2
laranja,2
toda,2
certeza,2
bandeiras,2
saímos,2
capitão,2
contar,2
apoiou,2
devendo,2
pessoa,2
pode,2
estatais,2
vendidas,2
números,2
pois,2
batizada,2
domingos,2
falarem,2
boiada,1
distraindo,1
encara,1
mostrei,1
começou,1
atrás,1
levantei,1
reclamam,1
podia,1
naquele,1
advogada,1
prisão,1
prol,1
síndrome,1
down,1
expressão,1
conduto,1
pudéssemos,1
manifestar,1
livremente,1
entrei,1
ausência,1
omissão,1
bloqueou,1
somamos,1
lideram,1
pesquisas,1
somam,1
gestão,1
possibilidade,1
usei,1
conseguiremos,1
abaixar,1
comida,1
tributo,1
pesa,1
passar,1
justo,1
primeira,1
medida,1
cuida,1
acabou,1
descobrimos,1
maiores,1
petrolão,1
suportar,1
outros,1
achei,1
coisa,1
andar,1
decepção,1
kelson,1
kelvin,1
perguntar,1
durante,1
morreram,1
poderíamos,1
atrasado,1
vacinas,1
faltado,1
oxigênio,1
arrepende,1
defender,1
deixa,1
responder,1
devolve,1
minuto,1
perdi,1
totalmente,1
raciocínio,1
aguardo,1
novo,1
colocando,1
liderança,1
inegável,1
mortes,1
pergunto,1
diria,1
consolar,1
famílias,1
esperando,1
ajuda,1
sofrendo,1
irmãos,1
separados,1
parente,1
outro,1
absurdos,1
secretário,1
conteúdo,1
nazista,1
assessor,1
gestos,1
supremacista,1
pleno,1
congresso,1
nacional,1
fundação,1
palmares,1
contra,1
movimento,1
negro,1
garantir,1
defesa,1
preta,1
parda,1
indígena,1
quadro,1
preconceito,1
institucional,1
arrumar,1
confusão,1
perigoso,1
perder,1
mostrar,1
xingamento,1
mandei,1
perguntei,1
parecendo,1
festa,1
junina,1
esquerda,1
belíssima,1
brincar,1
problemas,1
diagnóstico,1
soluções,1
condão,1
empregos,1
criar,1
impostos,1
substituir,1
federais,1
significam,1
carga,1
passarão,1
substituição,1
desonerar,1
folha,1
pagamento,1
contribuição,1
previdenciária,1
significa,1
desoneraremos,1
funcionários,1
permitir,1
anime,1
contratar,1
óbvio,1
além,1
refis,1
daquelas,1
judiciais,1
propor,1
faça,1
deve,1
novos,1
postos,1
pacote,1
econômico,1
propomos,1
principal,1
reformas,1
devida,1
gerar,1
deste,1
isentar,1
salários,1
mínimos,1
isentando,1
tirando,1
costas,1
inss,1
seis,1
reais,1
sobrar,1
longo,1
possível,1
simples,1
digital,1
moderna,1
insonegável,1
adora,1
dinheiro,1
vivo,1
resto,1
sério,1
duro,1
honesto,1
sonegador,1
gostar,1
pagar,1
alíquota,1
melhorar,1
cara,1
crescer,1
sair,1
passado,1
considerando,1
destino,1
mandar,1
nakkoud,1
casou,1
casamento,1
certo,1
beijo,1
enorme,1
antiga,1
carinho,1
amor,1
discutir,1
quais,1
perdoar,1
imperdoável,1
começar,1
revolução,1
valorizando,1
honrando,1
todo,1
norte,1
leste,1
oeste,1
poderão,1
felizes,1
valorizados,1
voltarão,1
começa,1
trazendo,1
iniciativa,1
privada,1
agregando,1
particulares,1
conosco,1
supram,1
eficiente,1
rápida,1
perdão,1
entendi,1
passo,1
parte,1
tempo,1
debatendo,1
bate,1
bola,1
educado,1
urbanidade,1
grave,1
conectividade,1
tablets,1
água,1
come,1
picanha,1
quilo,1
custa,1
lambuza,1
leite,1
condensado,1
comem,1
bolacha,1
seca,1
suquinho,1
maioria,1
conversado,1
refeição,1
abandonado,1
resolver,1
ministros,1
caminham,1
tramitam,1
Simone,1
advogadas,1
aluna,1
excelente,1
professora,1
elogiou,1
trabalhamos,1
estudamos,1
sabemos,1
acontecendo,1
nesse,1
judiciário,1
devido,1
processo,1
legal,1
demora,1
inquérito,1
fases,1
caso,1
terminou,1
entrega,1
relatório,1
resultado,1
desses,1
mentir,1
aconteceu,1
lembrar,1
privatização,1
iria,1
privatizar,1
usou,1
privatizou,1
praticamente,1
invés,1
menos,1
utilizá,1
canais,1
aula,1
alunos,1
internet,1
televisão,1
aberta,1
chega,1
diferentemente,1
portugal,1
aulas,1
serviço,1
propaganda,1
antecipada,1
lástima,1
superprivatista,1
venderia,1
justamente,1
utilizaria,1
cobrir,1
escolhendo,1
ótima,1
sabatina,1
William,1
bonner,1
fiquei,1
satisfeita,1
resposta,1
eleições,1
limpas,1
pretende,1
golpe,1
tema,1
dócil,1
atendido,1
pediu,1
ofício,1
assinado,1
negue,1
iphan,1
deitar,1
rolar,1
conseguiu,1
basicamente,1
política,1
vários,1
humildemente,1
panfletando,1
carros,1
leal,1
comungamos,1
mesma,1
usurpou,1
candidatar,1
chegar,1
senado,1
servi,1
nioaque,1
conheço,1
bastante,1
conhece,1
atendesse,1
funciona,1
neguei,1
tranquilo,1
atendendo,1
modelo,1
precisava,1
colocar,1
colocados,1
divididos,1
apoiadores,1
vídeo,1
pedindo,1
voto,1
coloquei,1
exatamente,1
anticovid,1
cuidando,1
lançar,1
operação,1
pescar,1
peixe,1
comprei,1
comprou,1
quiser,1
tome,1
fechei,1
comércio,1
obriguei,1
morrer,1
atendi,1
humildes,1
individualidade,1
tomou,1
mortos,1
chegue,1
zero,1
fizemos,1
atender,1
interesses,1
omar,1
aziz,1
queria,1
aprovar,1
emenda,1
pudesse,1
melhor,1
governadores,1
pudessem,1
qualquer,1
mundo,1
certificação,1
anvisa,1
licitação,1
atendidos,1
vimos,1
adequadas,1
pessimamente,1
indicada,1
senhoria,1
chupando,1
dedo,1
hein,1
andei,1
papel,1
alguém,1
respeite,1
podemos,1
acabar,1
portaria,1
escondeu,1
transparente,1
excelência,1
lógico,1
gostou,1
cumpriu,1
elegeram,1
abraçou,1
simplesmente,1
abandona,1
prtb,1
inteira,1
antigamente,1
traidor,1
pátria,1
princípio,1
três,1
aceitaram,1
rachadinha,1
acontece,1
questões,1
complicadas,1
muita,1
pressão,1
sempre,1
gratidão,1
amigo,1
freud,1
explica,1
tratar,1
descontar,1
relação,1
privatizações,1
Ciro,1
chegou,1
prejuízo,1
cabides,1
transparência,1
petrobras,1
empresa,1
mista,1
investidores,1
muitas,1
atividade,1
importante,1
dessas,1
ficam,1
debaixo,1
panos,1
faço,1
ajudassem,1
descobrir,1
feito,1
fica,1
juros,1
falou,1
posto,1
ipiranga,1
gasolina,1
trouxe,1
trazido,1
oligopólio,1
administra,1
fecha,1
estados,1
unidos,1
aberto,1
competitividade,1
escolher,1
abre,1
falo,1
Luiz,1
Inácio,1
Silva,1
chama,1
primeiramente,1
brasileiras,1
equipe,1
nessa,1
caminhada,1
prega,1
convidar,1
pulo,1
twitter,1
olhem,1
postei,1
peixoto,1
fotógrafo,1
conhecer,1
jornal,1
mostra,1
criança,1
pobre,1
olhando,1
calçada,1
restaurante,1
